<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.09	11:00:00	130900	131600	130500	131400	383	1991	100
2021.01.09	12:00:00	131400	132000	131200	131800	347	1643	100
2021.01.09	13:00:00	131400	131700	130900	131700	312	1535	100
2021.01.09	14:00:00	131500	131600	130300	130600	513	3453	100
2021.01.10	10:00:00	129900	130200	129400	130100	383	1996	0
2021.01.10	11:00:00	130100	131600	129800	131400	744	4318	100
2021.01.10	12:00:00	131300	133000	131200	132300	921	5536	100
2021.01.10	13:00:00	132300	132600	131700	132300	212	1148	100
2021.01.10	14:00:00	132300	133700	132000	133600	696	5124	100
2021.01.11	10:00:00	133900	133900	132600	132900	430	2466	0
2021.01.11	11:00:00	133000	133800	132800	133800	839	4451	100
2021.01.11	12:00:00	133700	134600	133000	133100	1332	6964	100
2021.01.11	13:00:00	133000	134000	132900	133700	572	2661	100
2021.01.11	14:00:00	133800	134200	132800	133100	1040	6238	100
2021.01.12	10:00:00	132900	133500	132100	132400	766	5037	0
2021.01.12	11:00:00	132600	133000	132500	132600	387	2382	100
2021.01.12	12:00:00	132700	134200	132300	132500	599	3684	100
2021.01.12	13:00:00	132600	133200	132200	132800	432	2522	100
2021.01.12	14:00:00	133000	133100	132400	132600	349	2254	100
2021.01.13	10:00:00	132300	132600	132200	132400	405	1907	0
2021.01.13	11:00:00	132400	133000	132300	132700	759	3126	100
2021.01.13	12:00:00	132800	133400	132700	133400	561	2261	100
2021.01.13	13:00:00	133300	133900	132900	133100	1113	5548	100
2021.01.13	14:00:00	133100	133200	132700	133000	688	2696	100
2021.01.14	11:00:00	132500	133000	132500	132900	180	1373	0
2021.01.14	12:00:00	132700	133100	132500	132500	385	2543	100
2021.01.14	13:00:00	132500	133200	132100	133200	448	2885	100
2021.01.14	14:00:00	133100	134800	133000	134000	647	4069	100
2021.01.16	10:00:00	133900	133900	132900	133600	435	2189	0
2021.01.16	11:00:00	133300	134000	133300	133500	362	1263	100
2021.01.16	12:00:00	133400	133700	133200	133400	285	1485	100
2021.01.16	13:00:00	133400	133800	133200	133300	198	757	100
2021.01.16	14:00:00	133500	134300	133500	133600	391	2238	0
2021.01.18	10:00:00	133000	133900	132500	132500	625	3109	0
2021.01.18	11:00:00	132500	133100	132500	132800	410	1961	100
2021.01.18	12:00:00	132900	133100	132800	132900	229	1239	100
2021.01.18	13:00:00	132900	132900	132400	132400	239	1125	100
2021.01.18	14:00:00	132500	132900	132100	132200	653	4283	100
2021.01.19	10:00:00	131600	132000	131500	131700	337	1956	0
2021.01.19	11:00:00	131600	131900	131500	131700	231	1441	100
2021.01.19	12:00:00	131700	132500	131600	132300	346	2230	100
2021.01.19	13:00:00	132200	132200	131800	131900	87	411	100
2021.01.19	14:00:00	131900	132100	131400	131800	240	1693	100
2021.01.20	10:00:00	131800	132900	131800	132900	351	1584	0
2021.01.20	11:00:00	132800	133100	132200	132600	240	1190	100
2021.01.20	12:00:00	132700	133600	132500	132900	240	1212	100
2021.01.20	13:00:00	133000	133200	132600	133200	141	636	100
2021.01.20	14:00:00	133200	133600	132700	133200	301	1995	100
2021.01.21	10:00:00	133100	133600	132900	133000	219	916	0
2021.01.21	11:00:00	132900	133200	132500	132500	268	1342	100
