Date,Open ,High,Low,Close,Volume
20180118,44350,44550,44335,44530,9
20180119,44660,44760,44560,44575,8
20180120,44540,44655,44500,44650,3
20180121,44770,45390,44680,45305,9
20180122,45470,46130,45300,46070,9
20180123,45770,46330,45620,45840,9
20180124,45600,46150,45600,45780,9
20180125,45600,45660,45480,45500,8
20180126,45430,45480,45190,45230,6
20180128,45000,45165,44900,45165,10
20180129,45230,45840,45230,45830,9
20180130,45900,46150,45430,45450,9
20180131,45330,45790,45300,45760,9
20180201,45870,46290,45670,46280,9
20180202,46290,46500,46160,46340,9
20180203,46380,46620,46330,46580,9
20180204,46560,47150,46340,47100,9
20180205,47180,47500,47180,47400,6
20180206,47100,47370,46640,46750,8
20180207,46600,46980,46400,46870,9
20180208,47120,47720,46750,46800,9
20180209,46000,46600,45900,46450,11
20180210,46480,46490,46250,46320,8
20180211,46550,47300,46550,47220,9
20180212,47300,47400,47225,47250,9
20180213,47470,48460,47410,48420,9
20180214,48870,48900,48300,48490,10
20180215,48390,49000,48260,48500,3
20180216,48300,48300,47800,47800,2
20180217,48000,48000,47900,47900,2
20180218,47600,47600,47000,47000,2
20180219,47000,47630,47000,47630,2
20180220,45900,46300,45900,46300,2
20180221,46200,46200,46000,46000,2
20180222,45800,46200,45800,46200,2
20180223,45800,46000,45800,46000,2
20180224,46000,46000,45900,45900,2
20180225,45900,46450,45900,46450,2
20180226,46500,47300,46500,47300,2
20180227,47700,48000,47700,48000,2
20180228,47700,47700,47400,47400,2
20180301,47000,47000,47000,47000,1
20180302,47450,47600,47300,47600,3
20180304,47700,47800,47400,47400,5
20180305,47300,47550,47300,47500,5
20180306,47600,47750,47600,47700,4
20180307,47800,47900,47500,47800,4
20180308,47900,48150,47900,48100,3
20180309,48300,48300,48000,48000,4
20180311,48100,48200,47850,48050,6
20180312,48000,48000,47600,47850,2
20180313,48000,48900,47900,48350,6
20180314,48600,48800,48600,48750,4
20180315,48700,48900,48500,48500,6
20180316,48900,48900,48400,48500,5
20180318,48450,48450,48300,48350,2
20180319,48500,48800,48250,48750,7
20180320,48800,49200,48800,49100,3
20180326,49710,50400,49700,50350,5
20180327,50630,51050,50630,51000,9
20180328,50800,51100,50800,51050,4
20180329,50800,51020,50800,51020,4
20180404,50600,50600,50300,50350,5
20180405,50300,50650,50300,50600,4
20180406,50700,51100,50700,51100,2
