<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.31	11:59:00	1704000	1704000	1704000	1704000	2	3	1000
2020.10.31	12:04:00	1705000	1708000	1705000	1708000	4	4	3000
2020.10.31	12:08:00	1700000	1708000	1700000	1700000	3	3	3000
2020.10.31	12:09:00	1707000	1707000	1707000	1707000	1	1	10000
2020.10.31	12:11:00	1708000	1709000	1708000	1709000	2	2	9000
2020.10.31	12:14:00	1712000	1714000	1712000	1714000	3	5	9000
2020.10.31	12:20:00	1710000	1710000	1710000	1710000	1	1	10000
2020.10.31	12:32:00	1711000	1711000	1711000	1711000	1	1	5000
2020.10.31	12:53:00	1710000	1710000	1710000	1710000	1	1	7000
2020.10.31	13:00:00	1705000	1705000	1705000	1705000	1	1	7000
2020.10.31	13:02:00	1705000	1705000	1705000	1705000	1	1	6000
2020.10.31	13:28:00	1705000	1705000	1705000	1705000	1	1	6000
2020.10.31	13:53:00	1705000	1705000	1703000	1703000	3	3	5000
2020.10.31	14:13:00	1709000	1709000	1709000	1709000	2	3	1000
2020.10.31	14:19:00	1704000	1704000	1704000	1704000	1	1	5000
2020.10.31	14:25:00	1704000	1704000	1704000	1704000	1	1	5000
2020.10.31	14:26:00	1704000	1704000	1704000	1704000	1	1	6000
2020.10.31	14:27:00	1709000	1709000	1709000	1709000	2	4	5000
2020.10.31	14:29:00	1709000	1709000	1709000	1709000	2	3	6000
2020.10.31	14:30:00	1709000	1710000	1709000	1709000	3	7	4000
2020.10.31	14:35:00	1706000	1706000	1706000	1706000	1	1	4000
2020.10.31	14:41:00	1706000	1706000	1706000	1706000	1	1	5000
2020.10.31	14:44:00	1710000	1710000	1710000	1710000	1	2	5000
2020.10.31	14:45:00	1710000	1710000	1710000	1710000	2	2	5000
2020.11.01	10:30:00	1702000	1708000	1698000	1699000	10	14	0
2020.11.01	10:31:00	1698000	1698000	1698000	1698000	2	2	8000
2020.11.01	10:32:00	1697000	1706000	1697000	1706000	3	3	8000
2020.11.01	10:33:00	1707000	1707000	1707000	1707000	1	1	4000
2020.11.01	10:37:00	1702000	1706000	1702000	1706000	2	2	5000
2020.11.01	10:39:00	1702000	1702000	1702000	1702000	1	1	4000
2020.11.01	10:43:00	1701000	1701000	1700000	1700000	4	5	1000
2020.11.01	10:44:00	1700000	1700000	1700000	1700000	1	1	5000
2020.11.01	10:48:00	1700000	1700000	1700000	1700000	1	1	5000
2020.11.01	10:53:00	1700000	1700000	1700000	1700000	2	3	5000
2020.11.01	10:54:00	1704000	1704000	1704000	1704000	1	1	4000
2020.11.01	10:56:00	1700000	1700000	1700000	1700000	2	2	1000
2020.11.01	10:58:00	1700000	1700000	1700000	1700000	1	1	1000
2020.11.01	11:03:00	1700000	1700000	1700000	1700000	2	2	1000
2020.11.01	11:07:00	1700000	1700000	1700000	1700000	1	1	1000
2020.11.01	11:10:00	1700000	1700000	1700000	1700000	1	1	1000
2020.11.01	11:13:00	1699000	1699000	1699000	1699000	1	1	1000
2020.11.01	11:14:00	1699000	1700000	1699000	1700000	3	3	1000
2020.11.01	11:16:00	1696000	1696000	1695000	1695000	5	8	1000
2020.11.01	11:18:00	1695000	1695000	1695000	1695000	2	2	2000
