Date,Open,High,Low,Close,Volume USDT
6/9/19,7893.62,7935,7506.66,7628.13,228303163
6/8/19,7980.53,8044.65,7751,7893.62,167582199
6/7/19,7786.7,8100,7737.49,7980.53,251966445
6/6/19,7776.5,7868.13,7444.58,7786.7,263492654
6/5/19,7687.03,7896.7,7572.78,7776.5,354060084
6/4/19,8115.82,8115.82,7481.02,7687.03,539348756
6/3/19,8725.98,8800.95,8080.8,8115.82,355526981
6/2/19,8544.07,8814.78,8524,8725.98,225804902
6/1/19,8555,8626,8442.36,8544.07,254607933
5/31/19,8269.54,8594,8108.5,8555,350865326
5/30/19,8645.68,9074.26,8005,8269.54,552147447
5/29/19,8715.64,8750,8406.6,8645.68,273154083
5/28/19,8756.32,8798.49,8510.63,8715.64,254693084
5/27/19,8614.43,8908.32,8589,8756.32,419875265
5/26/19,8025.41,8740,7833.42,8614.43,375747927
5/25/19,7964.87,8091.8,7908.34,8025.41,213847946
5/24/19,7851.51,8130,7766,7964.87,342424684
5/23/19,7628.43,7940.98,7461,7851.51,352067588
5/22/19,7904.87,8016,7465,7628.43,351894913
5/21/19,7938.15,8042.32,7771,7904.87,381015933
5/20/19,8148.48,8156.03,7553,7938.15,472989540
5/19/19,7257.45,8275.09,7243.08,8148.48,474429840
5/18/19,7355.26,7458,7156.61,7257.45,252367652
5/17/19,7866.59,7925,6913,7355.26,581754609
5/16/19,8169.87,8320,7705,7866.59,510407943
5/15/19,7947.56,8249,7850,8169.87,279783875
5/14/19,7790.71,8366,7599.56,7947.56,562251188
5/13/19,6967.31,8100,6870,7790.71,585457013
5/12/19,7076.22,7521.78,6750,6967.31,560694100
5/11/19,6373.33,7343.99,6372.85,7076.22,463621315
5/10/19,6209.18,6468.92,6172,6373.33,217853633
5/9/19,5987.29,6224.55,5983.71,6209.18,159232039
5/8/19,5846.34,6014.72,5772.2,5987.29,128246329
5/7/19,5747.79,5988,5747.74,5962.16,95544203.4
5/6/19,5775.62,5805,5619.14,5747.79,135669094
5/5/19,5829.45,5839.9,5696,5775.62,130593217
5/4/19,5772.69,5900,5587.45,5829.45,214568526
5/3/19,5492.87,5844,5477.57,5772.69,244199361
5/2/19,5383.2,5538,5370,5492.87,118022035
5/1/19,5320.81,5402,5316.2,5383.2,87894940
4/30/19,5238.14,5339.98,5192.15,5320.81,111616041
4/29/19,5307.52,5332,5178.8,5238.14,98677587.2
4/28/19,5295.69,5340,5259.48,5307.52,72698846.2
4/27/19,5314.1,5342.5,5257.67,5295.69,78433878.8
4/26/19,5219.9,5510,5161.62,5314.1,241599144
4/25/19,5415,5491.84,5102,5219.9,246080114
4/24/19,5493.31,5582.2,5333.35,5415,242563528
4/23/19,5357.14,5600,5332.41,5493.31,210611717
4/22/19,5256.14,5400,5208.35,5357.14,147775808
4/21/19,5291.73,5314.35,5165,5256.14,125164014
4/20/19,5258.68,5333.42,5230.1,5291.73,96728480.3
4/19/19,5258.44,5320,5175,5258.68,121954994
4/18/19,5202.82,5287,5198.8,5258.44,112603955
4/17/19,5173.72,5230.4,5146.8,5202.82,114118851
4/16/19,5024.95,5197.72,5003.94,5173.72,116255209
4/15/19,5131.3,5167.38,4950,5024.95,138545876
4/14/19,5045.22,5152.99,5000,5131.3,88260470.7
4/13/19,5048.01,5099,5004,5045.22,83686653.6
4/12/19,5017.37,5080.58,4861.22,5048.01,156210764
4/11/19,5308.25,5332.67,4927,5017.37,255269790
4/10/19,5150,5422,5135,5308.25,194991190
4/9/19,5236.9,5238.4,5076.68,5150,163857659
4/8/19,5170.27,5305,5039,5236.9,240502788
4/7/19,5043.89,5234,5026,5170.27,179636564
4/6/19,5004.95,5205,4928.59,5043.89,194175873
4/5/19,4898.66,5028.22,4880.62,5004.95,185131241
4/4/19,4932.6,5039.08,4777,4898.66,277808062
4/3/19,4857.29,5275.01,4753.5,4932.6,492096758
4/2/19,4144.56,4897.99,4140.54,4857.29,439057063
4/1/19,4103.95,4158.7,4067,4144.56,98897382.9
3/19/19,3987.81,4002.99,3983.14,3998.9,3770271.68
3/18/19,3981.14,4037,3953.33,3987.81,85249694.9
3/17/19,4005.98,4012,3950.01,3981.14,72063019.5
3/16/19,3923.76,4056.98,3921.98,4005.98,107497619
3/15/19,3877.12,3939.22,3872.2,3923.76,81114891.3
3/14/19,3866,3920,3810.43,3877.12,97969538.8
3/13/19,3882.73,3893.56,3840,3866,90381736.6
3/12/19,3871.61,3905.2,3826.06,3882.73,98954297.4
3/11/19,3916.82,3936.98,3830,3871.61,139488438
3/10/19,3943.04,3943.43,3881.69,3916.82,86575687.9
3/9/19,3864.89,3971.75,3854.75,3943.04,114942455
3/8/19,3873.64,3932,3800,3864.89,126907648
3/7/19,3861.84,3905.4,3840.4,3873.64,97813042.1
3/6/19,3857.73,3907,3813.09,3861.84,89407898.3
3/5/19,3715.3,3877.1,3703.55,3857.73,116787730
3/4/19,3807.75,3830,3670.69,3715.3,121780239
3/3/19,3819.93,3835,3781.32,3807.75,60995557.6
3/2/19,3823,3841.31,3772.25,3819.93,70548329.5
3/1/19,3813.69,3857,3813.01,3823,85419292.6
2/28/19,3818.07,3888,3763.87,3813.69,117459045
2/27/19,3809.23,3838.85,3677.17,3818.07,111687756
2/26/19,3827.92,3841.51,3777,3809.23,104034920
2/25/19,3743.56,3872.66,3740,3827.92,137427517
2/24/19,4117.76,4198,3712.66,3743.56,224883720
2/23/19,3962,4162.02,3933.15,4117.76,125401353
2/22/19,3937.31,3988,3926.65,3962,90091055.4
2/21/19,3969.74,4016.48,3901.03,3937.31,115083645
2/20/19,3907.79,3986.98,3870.66,3969.74,135108358
2/19/19,3898.6,3994.52,3856,3907.79,183807679
2/18/19,3667.58,3925,3655,3898.6,224852810
2/17/19,3618.41,3700.11,3604.4,3667.58,88228964.5
2/16/19,3602.47,3648.18,3597.91,3618.41,67623931.3
2/15/19,3590.56,3653.23,3573.45,3602.47,71300223.6
2/14/19,3609.4,3626.4,3568.11,3590.56,74794370.4
2/13/19,3631.46,3670,3591.75,3609.4,89139062.5
2/12/19,3631.05,3667.6,3582.34,3631.46,100548788
2/11/19,3680.06,3684.9,3615.53,3631.05,86333971.3
2/10/19,3665.18,3684.99,3609.76,3680.06,80442931.3
2/9/19,3659.04,3680.02,3625.13,3665.18,86743521.4
2/8/19,3398.4,3733.58,3373.1,3659.04,149907761
2/7/19,3405.37,3426.45,3390,3398.4,59571238.7
2/6/19,3471.59,3482.72,3380,3405.37,108428107
2/5/19,3463.22,3478.97,3448.43,3471.59,82723836.7
2/4/19,3458.11,3484.88,3433.31,3463.22,76254597.8
2/3/19,3504.77,3511.09,3426,3458.11,65376524.3
2/2/19,3462.07,3526.4,3440.29,3504.77,58911316.6
2/1/19,3434.1,3488,3401.2,3462.07,82446163.3
1/31/19,3458.18,3489.2,3418.8,3434.1,96152449.6
1/30/19,3411.04,3478,3387.1,3458.18,78125806.1
1/29/19,3434.15,3443.45,3349.92,3411.04,93813988.4
1/28/19,3550.84,3557.75,3381.5,3434.15,128787569
1/27/19,3565.25,3579,3486,3550.84,72613676.7
1/26/19,3565.29,3662.94,3545,3565.25,63344444.7
1/25/19,3569.62,3587.15,3522.51,3565.29,58864938.8
1/24/19,3552.82,3589,3529.22,3569.62,70006296
1/23/19,3570.93,3607.98,3514.5,3552.82,82165371.6
1/22/19,3526.9,3608.5,3446.69,3570.93,89395437.4
1/21/19,3539.28,3559.51,3485.04,3526.9,65059626.5
1/20/19,3665.3,3693.73,3475,3539.28,84251226.2
1/19/19,3594.87,3720,3594.23,3665.3,68293032.7
1/18/19,3616.21,3619.99,3565.75,3594.87,77956595.7
1/17/19,3591.84,3634.7,3533.44,3616.21,99041752.7
1/16/19,3553.06,3645,3543.51,3591.84,92324270.8
1/15/19,3626.09,3648.42,3518.44,3553.06,110721208
1/14/19,3476.81,3671.87,3467.02,3626.09,111116129
1/13/19,3583.13,3611.1,3444.28,3476.81,80130875.8
1/12/19,3601.31,3618.19,3531.06,3583.13,73689073.7
1/11/19,3585.88,3658,3526.98,3601.31,123044676
1/10/19,3966.65,3996.01,3540,3585.88,178756131
1/9/19,3955.13,4006.81,3930.04,3966.65,109315055
1/8/19,3975.45,4067.66,3922,3955.13,136737939
1/7/19,3987.6,4017.9,3921.53,3975.45,117221284
1/6/19,3770.96,4027.71,3740,3987.6,126593890
1/5/19,3792.01,3840.99,3751,3770.96,108993306
1/4/19,3766.78,3823.64,3703.57,3792.01,104281819
1/3/19,3858.56,3862.74,3730,3766.78,104293180
1/2/19,3797.14,3882.14,3750.45,3858.56,125781953
1/1/19,3702.9,3810.16,3642,3797.14,81818002.6
12/31/18,3801.91,3810,3637.78,3702.9,100763787
12/30/18,3695.32,3903.5,3657.9,3801.91,113873648
12/29/18,3839.26,3892,3670,3695.32,131634642
12/28/18,3567.91,3887.25,3540.04,3839.26,151406617
12/27/18,3777.74,3813.98,3535,3567.91,147943218
12/26/18,3745.79,3837.15,3656.74,3777.74,149732460
12/25/18,4008.01,4020,3646.41,3745.79,211665333
12/24/18,3929.71,4198,3924.83,4008.01,239128838
12/23/18,3948.91,4021.53,3870,3929.71,149909407
12/22/18,3838.66,3979,3785,3948.91,155073330
12/21/18,4049.62,4139.99,3764,3838.66,297414585
12/20/18,3662.22,4120,3635,4049.62,353522264
12/19/18,3652.98,3912.73,3622.55,3662.22,321352554
12/18/18,3509.08,3678.59,3424.47,3652.98,200359773
12/17/18,3228.67,3585,3216,3509.08,202235082
12/16/18,3211.72,3294,3186,3228.67,76001723.2
12/15/18,3224.17,3276.5,3156.26,3211.72,90753503.7
12/14/18,3302.06,3335,3177,3224.17,133564459
12/13/18,3445,3460,3255.5,3302.06,126209442
12/12/18,3380.39,3492,3350,3445,107823028
12/11/18,3432.88,3463.5,3324.32,3389.69,113264069
12/10/18,3545.37,3610,3370.11,3432.88,130691361
12/9/18,3410.93,3658,3394.04,3545.37,145607075
12/8/18,3403.55,3495,3276.47,3410.93,170227500
12/7/18,3508.75,3549.99,3224.6,3403.55,282816671
12/6/18,3769.84,3899.99,3500,3508.75,218397171
12/5/18,3951.64,3970,3745,3769.84,155318420
12/4/18,3884.01,4085,3785.94,3951.64,173269898
12/3/18,4161.01,4179,3827.02,3884.01,173213816
12/2/18,4190.02,4312.99,4103.04,4161.01,153308532
12/1/18,4041.32,4299.99,3963.01,4190.02,172412132
11/30/18,4295.84,4341.36,3943,4053.09,251530358
11/29/18,4264.85,4450.38,4125.65,4295.84,290872552
11/28/18,3875.21,4394.47,3874.27,4264.85,341820075
11/27/18,3862.2,3940,3689.12,3875.21,237845870
11/26/18,4085.78,4206,3701,3862.2,335099626
11/25/18,3932.44,4233,3652.66,4085.78,348653386
11/24/18,4420.61,4527,3824.69,3932.44,221518598
11/23/18,4370,4484,4222.94,4420.61,196337636
11/22/18,4661.07,4721.77,4335,4370,144312768
11/21/18,4558.86,4787.2,4413.85,4661.07,259711255
11/20/18,4910.03,5048.24,4326,4558.86,469785894
11/19/18,5662,5664,4855,4910.03,330584758
11/18/18,5628.29,5738.17,5617,5662,129338526
11/17/18,5655.94,5656.6,5565.43,5628.29,143028990
11/16/18,5753.4,5782.89,5549.25,5655.94,207469639
11/15/18,5922.41,5939.54,5403.42,5753.4,237668667
11/14/18,6457.66,6482.84,5656.87,5922.41,233505327
11/13/18,6453.07,6498,6391.15,6457.66,72321959.6
11/12/18,6449.81,6497,6421,6453.07,61686559.2
11/11/18,6433.05,6462.14,6355,6449.81,49665474.1
11/10/18,6419.99,6475.55,6411,6433.05,47755415.5
11/9/18,6479.84,6511.53,6391.01,6419.99,71860361.3
11/8/18,6578.46,6594,6468.22,6479.84,80095279.6
11/7/18,6519.11,6615.15,6509,6578.46,86807342.6
11/6/18,6468.99,6531.31,6445.18,6519.11,72777315.1
11/5/18,6485.85,6504.39,6431.02,6468.99,54839521.4
11/4/18,6387.09,6525,6359,6485.85,64280718
11/3/18,6433.98,6439.97,6345,6387.09,46694322.3
11/2/18,6410,6460.34,6388.2,6433.98,59808495
11/1/18,6371.93,6442.65,6348.66,6410,55513600
10/31/18,6330.87,6428,6245.02,6371.93,71519794.3
10/30/18,6344.5,6395,6317.01,6330.87,54072418.9
10/29/18,6489.93,6505.01,6315,6344.5,79170939.8
10/28/18,6505.6,6514.17,6453,6489.93,35689511.8
10/27/18,6538.63,6558.35,6476.18,6505.6,45941295.7
10/26/18,6528.09,6600,6515.01,6538.63,60059940.7
10/25/18,6565.5,6575.09,6502.8,6528.09,64861696.5
10/24/18,6553.51,6630,6547.53,6565.5,76420164.4
10/23/18,6581.2,6595,6515.45,6553.51,88380390.7
10/22/18,6590.11,6639,6535.27,6581.2,103897094
10/21/18,6588.4,6663.9,6580,6590.11,41319056
10/20/18,6528.88,6617.65,6505.55,6588.4,124380958
10/19/18,6618.96,6648.14,6523,6528.88,132584942
10/18/18,6740.89,6796,6567,6618.96,127224734
10/17/18,6759.27,6811.12,6676.01,6740.89,174661338
10/16/18,6755.73,6755.73,6708.49,6708.49,0
10/15/18,6339.34,7600,6300,6755.73,491227249
10/14/18,6332.93,6416,6308,6339.34,95740365.4
10/13/18,6298.01,6345,6285.07,6332.93,118068684
10/12/18,6252.68,6360,6209,6298.01,177661984
10/11/18,6631,6633.92,6205,6252.68,286479848
10/10/18,6656.61,6659.95,6530,6631,96963742.8
10/9/18,6673.01,6685.38,6607,6656.61,99126992.3
10/8/18,6615.26,6715.6,6587,6673.01,148015014
10/7/18,6594.27,6640,6525,6615.26,110939270
10/6/18,6635.65,6651,6566.77,6594.27,70034483
10/5/18,6593.79,6697,6543.08,6635.65,100230383
10/4/18,6510,6643.46,6505.09,6593.79,127356525
10/3/18,6525.79,6549,6430,6510,177823758
10/2/18,6611.61,6640,6494,6525.79,179259562
10/1/18,6626.57,6667.09,6510,6611.61,128365960
9/30/18,6596.38,6662,6533,6626.57,178592346
9/29/18,6634.58,6636,6464.57,6596.38,190971287
9/28/18,6689.13,6814.8,6540.88,6634.58,268266954
9/27/18,6465.12,6750,6434,6689.13,205546000
9/26/18,6447.54,6557.99,6380,6465.12,207541728
9/25/18,6581.39,6584.01,6325.02,6447.54,244602342
9/24/18,6708,6730,6557,6581.39,221830056
9/23/18,6723.05,6788.23,6661.75,6708,196932806
9/22/18,6759.02,6839.03,6627,6723.05,183725831
9/21/18,6492,6784.86,6491,6759.02,319306131
9/20/18,6391.89,6540,6325,6492,151828905
9/19/18,6336.45,6517.7,6123,6391.89,218908245
9/18/18,6248.69,6390,6224.98,6336.45,198091202
9/17/18,6505,6533.84,6201,6248.69,211888249
9/16/18,6514.96,6524.62,6375.13,6505,166422338
9/15/18,6476.63,6565.45,6466.13,6514.96,159621706
9/14/18,6487.38,6584.99,6385.62,6476.63,225935166
9/13/18,6338.62,6535,6337.4,6487.38,245913048
9/12/18,6294.91,6360,6192.37,6338.62,190076691
9/11/18,6312,6404,6170,6294.91,195248652
9/10/18,6250.81,6373.98,6221,6312,197824246
9/9/18,6185.05,6441,6141.53,6250.81,216780551
9/8/18,6395.54,6478,6111,6185.05,219588081
9/7/18,6516.01,6544,6320,6395.54,239707774
9/6/18,6700,6725,6286.05,6516.01,349174551
9/5/18,7359.06,7397.3,6682,6700,404281550
9/4/18,7263.02,7409.9,7227.17,7359.06,248511073
9/3/18,7302.01,7338.28,7191.63,7263.02,224625790
9/2/18,7200.01,7345.45,7127,7302.01,273323233
9/1/18,7011.21,7275,7008.74,7200.01,269659435
8/31/18,6984.84,7089,6888,7011.21,269101804
8/30/18,7031.22,7063.63,6784.81,6984.84,287626873
8/29/18,7076.11,7133.81,6912.34,7031.22,283327238
8/28/18,6908.64,7135,6860,7076.11,313540618
8/27/18,6700,6940.51,6646.5,6908.64,232201020
8/26/18,6733.64,6775.27,6568,6700,123840620
8/25/18,6681.64,6789,6650.61,6733.64,121496444
8/24/18,6525.01,6725,6440.5,6681.64,235813943
8/23/18,6360.89,6576.99,6342.28,6525.01,246188292
8/22/18,6480,6882.54,6251.2,6360.89,442016859
8/21/18,6254.84,6500,6235.08,6480,254469530
8/20/18,6477.53,6530,6220,6254.84,299203082
8/19/18,6387.96,6541,6300,6477.53,279949502
8/18/18,6584.49,6620,6288,6387.96,325752518
8/17/18,6311.75,6585,6285.4,6584.49,351803545
8/16/18,6267.16,6480,6205.6,6311.75,285558549
8/15/18,6188.08,6609,6172.11,6267.16,394600658
8/14/18,6246.35,6250.33,5880,6188.08,268258400
8/13/18,6308.33,6540.1,6145.04,6246.35,317507847
8/12/18,6077.3,6077.3,6077.3,6077.3,0
8/11/18,6144.01,6177,5982,6077.3,136726013
