<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.11.21,13:12:00,142000,142000,141700,141800,442
2020.11.21,13:13:00,141900,141900,141900,141900,1
2020.11.21,13:14:00,141900,141900,141900,141900,23
2020.11.21,13:15:00,141900,141900,141900,141900,36
2020.11.21,13:16:00,141900,141900,141800,141900,56
2020.11.21,13:17:00,141900,141900,141800,141900,30
2020.11.21,13:18:00,141900,141900,141900,141900,28
2020.11.21,13:19:00,141900,141900,141900,141900,42
2020.11.21,13:20:00,141900,142000,141900,142000,45
2020.11.21,13:21:00,141900,141900,141800,141800,45
2020.11.21,13:22:00,141800,141900,141800,141900,55
2020.11.21,13:23:00,141900,141900,141900,141900,24
2020.11.21,13:24:00,141900,141900,141900,141900,18
2020.11.21,13:26:00,141900,142000,141900,142000,58
2020.11.21,13:27:00,141900,141900,141900,141900,3
2020.11.21,13:28:00,141900,141900,141900,141900,9
2020.11.21,13:29:00,141900,142000,141900,141900,31
2020.11.21,13:30:00,141800,141800,141800,141800,5
2020.11.21,13:31:00,141800,142000,141800,142000,105
2020.11.21,13:32:00,142000,142000,142000,142000,53
2020.11.21,13:33:00,142000,142000,142000,142000,9
2020.11.21,13:34:00,142000,142000,141900,141900,26
2020.11.21,13:35:00,141900,141900,141900,141900,72
2020.11.21,13:36:00,141900,142000,141900,141900,51
2020.11.21,13:37:00,142000,142000,141900,141900,30
2020.11.21,13:38:00,141900,141900,141900,141900,31
2020.11.21,13:39:00,142000,142000,142000,142000,19
2020.11.21,13:41:00,142000,142000,142000,142000,2
2020.11.21,13:42:00,141900,141900,141900,141900,20
2020.11.21,13:43:00,141900,141900,141900,141900,35
2020.11.21,13:44:00,141900,141900,141900,141900,2
2020.11.21,13:45:00,141900,142000,141900,142000,20
2020.11.21,13:46:00,141900,141900,141900,141900,2
2020.11.21,13:47:00,141800,141800,141800,141800,7
2020.11.21,13:48:00,141800,141800,141800,141800,52
2020.11.21,13:49:00,141700,141800,141700,141700,85
2020.11.21,13:50:00,141800,141800,141700,141800,26
2020.11.21,13:51:00,141800,141800,141700,141700,100
2020.11.21,13:52:00,141600,141700,141500,141600,117
2020.11.21,13:53:00,141600,141700,141000,141200,679
2020.11.21,13:54:00,141200,141200,140800,140800,449
2020.11.21,13:55:00,140800,141300,140800,141300,398
2020.11.21,13:56:00,141400,141500,141200,141500,141
2020.11.21,13:57:00,141500,141500,141500,141500,3
2020.11.21,13:58:00,141500,141700,141500,141700,136
