<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zaferan.9908-44,20200706,127519.00,128672.00,122275.00,127533.00,37307983573,292536,515,D,122545.00,122400.00
Zaferan.9908-44,20200705,119911.00,123138.00,119911.00,122545.00,23806734840,194269,254,D,117275.00,123138.00
Zaferan.9908-44,20200704,117599.00,117672.00,114000.00,117275.00,23340755420,199026,279,D,112069.00,117672.00
Zaferan.9908-44,20200701,112499.00,113225.00,108008.00,112069.00,23692595474,211410,340,D,107834.00,113225.00
Zaferan.9908-44,20200630,107000.00,108503.00,104001.00,107834.00,22340674608,207177,308,D,103337.00,108503.00
Zaferan.9908-44,20200629,102300.00,106000.00,101500.00,103337.00,27153667155,262769,557,D,104017.00,105900.00
Zaferan.9908-44,20200628,104900.00,107800.00,99700.00,104017.00,16918975215,162656,297,D,104770.00,102299.00
Zaferan.9908-44,20200627,101700.00,105997.00,99500.00,104770.00,30525269422,291356,219,D,101231.00,104545.00
Zaferan.9908-44,20200624,98880.00,104000.00,97002.00,101231.00,26513020415,261905,332,D,99177.00,101000.00
Zaferan.9908-44,20200623,99000.00,101088.00,96610.00,99177.00,43799895815,441633,434,D,96275.00,98450.00
Zaferan.9908-44,20200622,95275.00,97707.00,94011.00,96275.00,8916562958,92616,175,D,93055.00,97707.00
Zaferan.9908-44,20200621,92298.00,95270.00,91000.00,93055.00,25945511946,278818,360,D,90739.00,95190.00
Zaferan.9908-44,20200620,89999.00,92000.00,89800.00,90739.00,21855340722,240859,269,D,89943.00,90900.00
Zaferan.9908-44,20200616,92275.00,93999.00,88988.00,89943.00,9824300535,109228,253,D,93671.00,88988.00
Zaferan.9908-44,20200615,91999.00,94441.00,90005.00,93671.00,43237033761,461583,386,D,93763.00,92605.00
Zaferan.9908-44,20200614,94489.00,94489.00,90057.00,93763.00,58371827472,622546,559,D,89990.00,92000.00
Zaferan.9908-44,20200613,89990.00,89990.00,89990.00,89990.00,2527549130,28087,280,D,85705.00,89990.00
Zaferan.9908-44,20200610,83800.00,86107.00,82551.00,85705.00,47092096540,549469,446,D,82007.00,86107.00
Zaferan.9908-44,20200609,82500.00,82634.00,81850.00,82007.00,20959615743,255582,141,D,82344.00,81992.00
Zaferan.9908-44,20200608,82298.00,82988.00,81600.00,82344.00,14716103700,178714,143,D,82052.00,82689.00
Zaferan.9908-44,20200607,81605.00,82800.00,81605.00,82287.00,10706969658,130117,124,D,82986.00,82000.00
Zaferan.9908-44,20200606,83000.00,83966.00,82000.00,82986.00,20216109642,243610,360,D,83211.00,82899.00
Zaferan.9908-44,20200602,82600.00,83939.00,82004.00,83211.00,20739806729,249243,189,D,82641.00,83600.00
Zaferan.9908-44,20200601,82690.00,83947.00,82100.00,82641.00,19973253432,241687,346,D,82328.00,82400.00
Zaferan.9908-44,20200531,83296.00,83700.00,81700.00,82328.00,21258525132,258218,302,D,83124.00,82998.00
Zaferan.9908-44,20200530,82160.00,84511.00,81900.00,83124.00,17078279147,205455,315,D,80585.00,83400.00
Zaferan.9908-44,20200527,79001.00,81594.00,79000.00,80585.00,10972529888,136161,290,D,79391.00,81594.00
Zaferan.9908-44,20200526,79588.00,80399.00,77901.00,79391.00,11211470493,141218,510,D,78208.00,78850.00
Zaferan.9908-44,20200523,77706.00,78780.00,77706.00,78208.00,21005307368,268581,490,D,78276.00,77901.00
Zaferan.9908-44,20200520,80000.00,80000.00,77500.00,78276.00,29293274014,374230,681,D,79548.00,77500.00
Zaferan.9908-44,20200519,79999.00,81999.00,77000.00,79548.00,22131232861,278213,367,D,78941.00,79006.00
Zaferan.9908-44,20200518,76553.00,79400.00,76553.00,78941.00,16080863617,203707,361,D,78477.00,79400.00
Zaferan.9908-44,20200517,78800.00,79200.00,77500.00,78477.00,7083108292,90257,179,D,77436.00,78501.00
Zaferan.9908-44,20200516,76005.00,78300.00,75500.00,77436.00,9531091150,123083,270,D,76630.00,78300.00
Zaferan.9908-44,20200513,78000.00,78000.00,75600.00,76630.00,24096157933,314450,374,D,78865.00,76950.00
Zaferan.9908-44,20200512,79800.00,80447.00,76667.00,78865.00,26934726806,341528,363,D,79168.00,77000.00
Zaferan.9908-44,20200511,77200.00,80985.00,77200.00,79168.00,10254054243,129522,198,D,77826.00,78901.00
Zaferan.9908-44,20200510,77999.00,78888.00,77002.00,77826.00,27137257548,348692,352,D,77434.00,78600.00
Zaferan.9908-44,20200509,79030.00,79040.00,77000.00,77434.00,20524842346,265063,211,D,77727.00,77600.00
Zaferan.9908-44,20200506,76750.00,79000.00,76750.00,77727.00,24324008745,312941,310,D,77814.00,78449.00
Zaferan.9908-44,20200505,77324.00,78397.00,77260.00,77814.00,9552675453,122763,132,D,78222.00,77600.00
Zaferan.9908-44,20200504,79000.00,79894.00,77800.00,78222.00,14698399377,187906,242,D,79323.00,78200.00
Zaferan.9908-44,20200503,81998.00,82918.00,76800.00,79323.00,22879435519,288432,437,D,80431.00,79000.00
Zaferan.9908-44,20200502,79560.00,81000.00,78123.00,80431.00,27477884991,341635,346,D,78568.00,80750.00
Zaferan.9908-44,20200429,76683.00,79800.00,76683.00,78568.00,14496826177,184514,196,D,78143.00,78798.00
Zaferan.9908-44,20200428,80500.00,80899.00,77000.00,78143.00,20708391861,265006,204,D,80175.00,78740.00
Zaferan.9908-44,20200427,80002.00,82333.00,79202.00,80175.00,19521994216,243491,221,D,80800.00,80396.00
Zaferan.9908-44,20200426,80200.00,81999.00,79301.00,80800.00,25357012790,313823,235,D,81684.00,81950.00
Zaferan.9908-44,20200425,82977.00,82977.00,81528.00,81684.00,32720109749,400568,406,D,85818.00,81528.00
Zaferan.9908-44,20200422,88100.00,88179.00,85000.00,85818.00,14916996483,173822,250,D,87082.00,85000.00
Zaferan.9908-44,20200421,88919.00,88919.00,86000.00,87082.00,28806834067,330801,315,D,86794.00,86699.00
Zaferan.9908-44,20200420,86136.00,87490.00,85600.00,86794.00,23864740144,274958,229,D,85807.00,86660.00
Zaferan.9908-44,20200419,86000.00,87999.00,84500.00,85807.00,21578900607,251481,245,D,87818.00,86999.00
Zaferan.9908-44,20200418,88800.00,88800.00,86503.00,87818.00,27866347361,317320,242,D,88078.00,87689.00
Zaferan.9908-44,20200415,86505.00,89000.00,86500.00,88078.00,32376019977,367582,231,D,88384.00,88638.00
Zaferan.9908-44,20200414,87000.00,88999.00,87000.00,88384.00,28388650213,321197,336,D,89222.00,88510.00
Zaferan.9908-44,20200413,89999.00,89999.00,88497.00,89222.00,14697798066,164732,146,D,89536.00,88500.00
Zaferan.9908-44,20200412,89000.00,90000.00,89000.00,89536.00,16673714862,186224,182,D,90018.00,89800.00
Zaferan.9908-44,20200411,90817.00,90817.00,89500.00,90018.00,9707496598,107839,266,D,89444.00,89800.00
Zaferan.9908-44,20200408,89000.00,90478.00,88000.00,89444.00,40745606684,455545,390,D,88991.00,89980.00
Zaferan.9908-44,20200407,88888.00,89398.00,88202.00,88991.00,36993095375,415695,381,D,88325.00,88500.00
Zaferan.9908-44,20200406,87368.00,89619.00,86051.00,88325.00,30628186171,346766,410,D,86630.00,89000.00
Zaferan.9908-44,20200405,85901.00,87499.00,85800.00,86630.00,12266666295,141599,208,D,86116.00,87120.00
Zaferan.9908-44,20200404,84600.00,87322.00,84600.00,86116.00,48065691135,558151,502,D,84936.00,86665.00
Zaferan.9908-44,20200330,84060.00,86111.00,84060.00,84936.00,35050109820,412664,403,D,87279.00,85797.00
Zaferan.9908-44,20200329,88102.00,90000.00,85000.00,87279.00,28682854550,328635,564,D,88070.00,85280.00
Zaferan.9908-44,20200328,86250.00,88848.00,86250.00,88070.00,20124277971,228504,389,D,87027.00,88799.00
Zaferan.9908-44,20200325,88186.00,88186.00,86000.00,87027.00,14126561684,162323,269,D,86649.00,86900.00
Zaferan.9908-44,20200324,87500.00,87500.00,85700.00,86649.00,13834111629,159657,185,D,83334.00,86420.00
Zaferan.9908-44,20200318,84000.00,87001.00,81601.00,83334.00,60104564645,721251,833,D,85825.00,86400.00
Zaferan.9908-44,20200317,87500.00,87999.00,84861.00,85825.00,25466717780,296727,358,D,89327.00,84861.00
Zaferan.9908-44,20200316,89979.00,91497.00,86111.00,89327.00,41896406403,469021,533,D,89391.00,86790.00
Zaferan.9908-44,20200315,88920.00,90500.00,88000.00,89391.00,36302354267,406109,643,D,88817.00,89100.00
Zaferan.9908-44,20200314,87148.00,90498.00,85000.00,88817.00,49484781011,557157,619,D,86688.00,89500.00
Zaferan.9908-44,20200311,83600.00,87153.00,83600.00,86688.00,29100725726,335695,293,D,83003.00,85650.00
Zaferan.9908-44,20200310,81639.00,84253.00,80802.00,83003.00,39193202760,472191,394,D,80241.00,84000.00
Zaferan.9908-44,20200309,80888.00,81177.00,78251.00,80241.00,19590041332,244140,272,D,79822.00,81099.00
Zaferan.9908-44,20200307,82700.00,82944.00,78477.00,79822.00,32772495483,410569,488,D,82607.00,81000.00
Zaferan.9908-44,20200304,82490.00,83528.00,80501.00,82607.00,31738360344,384209,487,D,79551.00,81000.00
Zaferan.9908-44,20200303,76455.00,80057.00,76455.00,79551.00,19919553148,250401,390,D,76245.00,80057.00
Zaferan.9908-44,20200302,77800.00,79998.00,73147.00,76245.00,33092341973,434025,629,D,76991.00,77485.00
Zaferan.9908-44,20200301,77999.00,80080.00,76439.00,76991.00,19552692250,253960,614,D,80462.00,77300.00
Zaferan.9908-44,20200229,81744.00,84000.00,78504.00,80462.00,24064079966,299072,470,D,82635.00,79006.00
Zaferan.9908-44,20200226,81000.00,86600.00,79133.00,82635.00,31011398375,375283,512,D,83297.00,83500.00
Zaferan.9908-44,20200225,85010.00,85100.00,83204.00,83297.00,12826011328,153979,196,D,87583.00,83204.00
Zaferan.9908-44,20200224,90490.00,90490.00,85416.00,87583.00,12551911455,143314,224,D,89911.00,86000.00
Zaferan.9908-44,20200223,89502.00,90500.00,89366.00,89911.00,33167841231,368897,320,D,90231.00,89367.00
Zaferan.9908-44,20200222,91998.00,91998.00,89555.00,90231.00,28740696614,318525,315,D,90014.00,90060.00
Zaferan.9908-44,20200219,91998.00,91998.00,89009.00,90014.00,27008258112,300044,401,D,90391.00,90110.00
Zaferan.9908-44,20200218,90200.00,90700.00,90007.00,90391.00,30838228292,341164,449,D,90663.00,90300.00
Zaferan.9908-44,20200217,91199.00,91300.00,90160.00,90663.00,7077097480,78059,137,D,90437.00,91300.00
Zaferan.9908-44,20200216,90505.00,91440.00,90100.00,90437.00,27958385340,309149,490,D,90629.00,90150.00
Zaferan.9908-44,20200215,91794.00,91794.00,90111.00,90629.00,4014211636,44293,124,D,90180.00,91000.00
Zaferan.9908-44,20200212,90112.00,90800.00,89805.00,90180.00,22593857499,250543,324,D,90128.00,90000.00
Zaferan.9908-44,20200210,91094.00,91094.00,89700.00,90128.00,27420391429,304239,391,D,91031.00,89807.00
Zaferan.9908-44,20200209,90003.00,91833.00,90000.00,91031.00,17201081367,188959,398,D,90661.00,90000.00
Zaferan.9908-44,20200208,90350.00,91897.00,90252.00,90661.00,22657724962,249918,370,D,91397.00,90401.00
Zaferan.9908-44,20200205,92000.00,92000.00,90660.00,91397.00,4326624738,47339,118,D,91289.00,91400.00
Zaferan.9908-44,20200204,92000.00,92200.00,90800.00,91289.00,20796798393,227813,333,D,92234.00,91000.00
Zaferan.9908-44,20200203,91899.00,93200.00,91000.00,92234.00,24892633832,269887,422,D,90125.00,91499.00
Zaferan.9908-44,20200202,91499.00,91998.00,89800.00,90125.00,30434444617,337693,736,D,90627.00,90200.00
Zaferan.9908-44,20200201,92333.00,92599.00,89901.00,90627.00,19276002487,212697,463,D,91253.00,90200.00
Zaferan.9908-44,20200128,92400.00,92798.00,90000.00,91253.00,14168531490,155266,332,D,92558.00,90999.00
Zaferan.9908-44,20200127,93400.00,93800.00,92000.00,92558.00,7710016988,83299,159,D,94448.00,92400.00
Zaferan.9908-44,20200126,96790.00,96790.00,92500.00,94448.00,7687718740,81396,256,D,95303.00,93194.00
Zaferan.9908-44,20200125,92700.00,96900.00,92700.00,95303.00,15766530295,165436,350,D,92327.00,94799.00
Zaferan.9908-44,20200122,91000.00,93500.00,91000.00,92327.00,21624413279,234216,319,D,90650.00,93003.00
Zaferan.9908-44,20200121,90600.00,92000.00,89203.00,90650.00,12586846101,138851,227,D,89125.00,91000.00
Zaferan.9908-44,20200120,88551.00,90500.00,88220.00,89125.00,9700813499,108845,237,D,88633.00,90220.00
Zaferan.9908-44,20200119,89000.00,89000.00,87900.00,88633.00,12583086684,141968,236,D,88757.00,88700.00
Zaferan.9908-44,20200118,89430.00,89430.00,88180.00,88757.00,13036251017,146875,234,D,89046.00,88250.00
Zaferan.9908-44,20200115,88662.00,89495.00,88113.00,89046.00,7639384277,85791,181,D,88662.00,89029.00
