<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2019.06.10,229808.83,232619.09,229808.83,230615.09,2403
2019.06.11,230267.72,230657.3,229772.22,230617.77,2469
2019.06.12,230617.53,233791.95,230617.53,233352.75,2604
2019.06.15,233352.81,234167.63,232107.2,234167.63,1677
2019.06.16,234167.67,239154.3,234167.67,238220.19,2376
2019.06.17,238220.17,238420.19,237557.91,238186.78,2382
2019.06.18,238160.66,239122.8,237219.95,237219.95,2530
2019.06.19,237148.23,237502.45,234880.08,234880.08,2243
2019.06.22,234879.41,234879.41,233479.41,233853.77,2091
2019.06.23,233886.06,237459.91,233886.06,237459.91,2368
2019.06.24,237459.89,242563.06,237459.89,242532.2,2303
2019.06.25,242568.13,245051.94,242394.09,245051.94,2471
2019.06.26,245098.7,248640.94,245098.7,248577.91,2556
2019.06.30,248577.77,250184.59,248577.77,248613.77,2572
2019.07.01,248533.05,248533.05,246743.92,247088.31,2567
2019.07.02,247122.45,248271.09,247122.45,248271.09,4820
2019.07.03,248275.88,249550.25,248275.88,248943.55,1460
2019.07.06,248943.98,249117.05,245445.7,245445.7,1300
2019.07.07,245445.63,246565.06,245445.63,246447.55,1286
2019.07.08,246447.45,249399.91,246447.45,249252.91,1488
2019.07.09,249252.59,249530.55,248507.69,248716.22,1626
2019.07.10,248716.14,249621.84,248716.14,249621.84,2077
2019.07.13,249622.06,250604.94,249622.06,250604.94,2484
2019.07.14,250605.02,253640.52,250605.02,253591.27,2462
2019.07.15,253577.77,254841.75,253303.8,253303.8,2541
2019.07.16,253303.31,253303.31,246270.31,246270.31,2327
2019.07.17,246268.05,246954.77,245363.92,246768.2,2404
2019.07.20,246790.39,247380.61,246465.95,246465.95,2451
2019.07.21,246437.38,249735.52,246437.38,249661.52,2562
2019.07.22,249661.56,253431.16,249661.56,253047.56,2512
2019.07.23,253056.8,253353.8,251131.27,251278.41,1471
2019.07.24,251278.3,253052.3,251278.3,252864.78,1443
