date,open,high,low,close,volume,open_interest,contract,unadjusted_close
2001-06-04,907.1515495,907.1515495,907.1515495,907.1515495,12,1449,200109,640
2001-06-05,902.1905644,902.1905644,892.9773065,898.9304885,166,1463,200109,634.2
2001-06-06,892.9773065,897.2295794,885.890185,885.890185,26,1461,200109,625
2001-06-07,885.890185,885.890185,877.3856392,877.7399953,42,1470,200109,619.25
2001-06-08,871.7159421,885.890185,871.7159421,879.937003,20,1468,200109,620.8
2001-06-11,871.7159421,874.5507906,871.7159421,874.5507906,16,1394,200109,617
2001-06-12,861.793972,861.793972,851.8720019,858.6047673,105,1326,200109,605.75
2001-06-13,849.604123,853.2894262,841.9500318,852.7933277,48,1329,200109,601.65
2001-06-14,856.1242748,857.5416991,856.1242748,857.5416991,37,1346,200109,605
2001-06-15,861.793972,877.3856392,861.793972,864.6288206,65,1335,200109,610
2001-06-18,857.5416991,870.2985178,857.5416991,869.377192,7,1337,200109,613.35
2001-06-19,867.4636692,877.3856392,867.4636692,873.1333664,36,1349,200109,616
2001-06-20,880.2204878,891.2763973,878.8030635,890.1424579,31,1359,200109,628
2001-06-21,885.890185,892.9773065,871.7159421,880.7165863,81,1355,200109,621.35
2001-06-22,875.9682149,875.9682149,873.1333664,875.9682149,23,1363,200109,618
2001-06-25,871.7159421,873.1333664,870.2985178,870.2985178,28,1366,200109,614
2001-06-26,870.2985178,870.2985178,864.6288206,867.4636692,18,1364,200109,612
2001-06-27,863.2113963,864.6288206,861.0852598,861.793972,25,1373,200109,608
2001-06-28,858.9591234,860.3765477,843.3674561,843.3674561,15,1372,200109,595
2001-06-29,846.5566608,857.5416991,846.5566608,850.3837064,38,1364,200109,599.95
2001-07-02,857.5416991,857.5416991,850.4545776,852.5807141,20,1382,200109,601.5
2001-07-03,846.2023047,846.2023047,831.3193496,832.0280618,39,1394,200109,587
2001-07-05,829.1932132,829.1932132,825.6496524,827.7757889,29,1400,200109,584
2001-07-06,833.4454861,833.4454861,814.3102581,817.8538188,50,1389,200109,577
2001-07-09,815.0189702,822.1060917,815.0189702,816.932493,25,1384,200109,576.35
2001-07-10,800.8447273,805.0970001,799.427303,799.427303,24,1383,200109,564
2001-07-11,800.8447273,805.0970001,800.1360151,800.8447273,3,1385,200109,565
2001-07-12,799.427303,802.2621516,799.427303,801.3408258,5,1386,200109,565.35
