ELI1VFIEUR;Elisa OYJ;Stocks;Finland;11.03.2016;11.03.2016;3;0.01;0;0.01;0.001;1
NES1VFIEUR;Neste OYJ;Stocks;Finland;11.03.2016;11.03.2016;3;0.01;0;0.01;0.001;1
NRE1VFIEUR;Nokian Renkaat OYJ;Stocks;Finland;11.03.2016;11.03.2016;3;0.01;0;0.01;0.001;1
OTE1VFIEUR;Outotec OYJ;Stocks;Finland;11.03.2016;11.03.2016;3;0.01;0;0.01;0.001;1
OUT1VFIEUR;Outokumpu OYJ;Stocks;Finland;11.03.2016;11.03.2016;3;0.01;0;0.01;0.001;1
STERVFIEUR;Stora Enso OYJ;Stocks;Finland;11.03.2016;11.03.2016;3;0.01;0;0.01;0.001;1
TLS1VFIEUR;Telia Company AB;Stocks;Finland;11.09.2016;11.09.2016;3;0.01;0;0.01;0.001;1

ACFREUR;Accor SA;Stocks;France;11.08.2016;11.08.2016;3;0.01;0;0.01;0.001;1
ACAFREUR;Credit Agricole SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
AFFREUR;Air France-KLM;Stocks;France;27.09.2016;27.09.2016;3;0.01;0;0.01;0.001;1
AIFREUR;Air Liquide SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
AIRFREUR;Airbus Group SE;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
ALOFREUR;Alstom SA;Stocks;France;27.09.2016;27.09.2016;3;0.01;0;0.01;0.001;1
BNFREUR;Danone SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
BNPFREUR;BNP Paribas SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
CAFREUR;Carrefour SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
CAPFREUR;Cap Gemini SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
CSFREUR;AXA SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
DGFREUR;Vinci SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
EDFFREUR;Electricite de France SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
EIFREUR;Essilor International SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
ENFREUR;Bouygues SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
ENGIFREUR;Engie;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
FPFREUR;Total SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
FRFREUR;Valeo SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
GLEFREUR;Societe Generale SA;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
KERFREUR;Kering;Stocks;France;30.09.2016;30.09.2016;3;0.01;0;0.01;0.001;1
LIFREUR;Klepierre;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
LRFREUR;Legrand SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
MCFREUR;LVMH Moet Hennessy Louis Vuitton SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
ORFREUR;L'Oreal SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
ORAFREUR;Orange SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
PUBFREUR;Publicis Groupe SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
RIFREUR;Pernod-Ricard SA;Stocks;France;05.08.2016;05.08.2016;3;0.01;0;0.01;0.001;1
